Date,price
7/7/2017,96.010002
7/10/2017,96.050003
7/11/2017,95.739998
7/12/2017,95.790001
7/13/2017,95.730003
7/14/2017,95.110001
7/17/2017,95.129997
7/18/2017,94.660004
7/19/2017,94.800003
7/20/2017,94.269997
7/21/2017,93.940002
7/24/2017,93.980003
7/25/2017,94.050003
7/26/2017,93.669998
7/27/2017,93.860001
7/28/2017,93.260002
7/31/2017,92.860001
8/1/2017,93.029999
8/2/2017,92.830002
8/3/2017,92.809998
8/4/2017,93.540001
8/7/2017,93.43
8/8/2017,93.639999
8/9/2017,93.519997
8/10/2017,93.400002
8/11/2017,93.07
8/14/2017,93.459999
8/15/2017,93.849998
8/16/2017,93.489998
8/17/2017,93.620003
8/18/2017,93.43
8/21/2017,93.099998
8/22/2017,93.550003
8/23/2017,93.150002
8/24/2017,93.279999
8/25/2017,92.739998
8/28/2017,92.209999
8/29/2017,92.349998
8/30/2017,92.879997
8/31/2017,92.669998
9/1/2017,92.809998
9/5/2017,92.309998
9/6/2017,92.290001
9/7/2017,91.529999
9/8/2017,91.330002
9/11/2017,91.860001
9/12/2017,91.910004
9/13/2017,92.519997
9/14/2017,92.120003
9/15/2017,91.870003
9/18/2017,92.050003
9/19/2017,91.790001
9/20/2017,92.510002
9/21/2017,92.260002
9/22/2017,92.169998
9/25/2017,92.650002
9/26/2017,92.970001
9/27/2017,93.360001
9/28/2017,93.089996
9/29/2017,93.080002
10/2/2017,93.559998
